"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"OG0024104:" 133.485322682051 -2.46416069628226 0.474490628677791 -5.19327579376825 2.06625741519625e-07 0.00654487036263411
"OG0008027:" 93.4446552719029 -2.46951966262343 0.546984788448624 -4.51478672675261 6.33805172890668e-06 0.0401515577026238
"OG0011230:" 253.329901342748 -1.92781701706829 0.425822496868938 -4.52727845814506 5.97481866399242e-06 0.0401515577026238
"OG0012155:" 22.2919399321524 -2.65701420819141 0.577924982572364 -4.59750709575653 4.27576070661301e-06 0.0401515577026238
"OG0016307:" 409.727838352371 -2.64634572099941 0.564270058724513 -4.68985670971317 2.73396434990661e-06 0.0401515577026238
"OG0030179:" 354.091657128117 -2.21410381277915 0.511469949309772 -4.32890302894056 1.49853893889714e-05 0.0791103681492781
"OG0036646:" 230.285723660777 -2.40161415477857 0.570476026444822 -4.20984238329052 2.55548904402193e-05 0.115635879241992
"OG0023398:" 733.271405810321 1.71325217519103 0.412428418311142 4.15405946614117 3.26628230850769e-05 0.129324365152476
"OG0021593:" 220.781329497696 -1.69786227571937 0.414266605915604 -4.09847728847655 4.15877035591341e-05 0.146365612248397
"OG0011111:" 856.195882573136 1.39261731607384 0.343726997663421 4.05152148519186 5.08856524081973e-05 0.161180304002965
"OG0021433:" 229.994225502822 -2.04645471789459 0.510458191881889 -4.00905451306402 6.09623436176962e-05 0.175543839462775
"OG0001529:" 93.4730287986873 -1.60918157022075 0.406608763993728 -3.95756735397265 7.57169409525819e-05 0.186423413914562
"OG0028486:" 857.656036627789 1.3314346418698 0.336639792436842 3.95507207342278 7.65115826642242e-05 0.186423413914562
"OG0006915:" 187.736744919462 1.65120189846876 0.424981708611957 3.88534815736375 0.000102183343788458 0.202294203785695
"OG0009895:" 408.592819731137 1.94037544222092 0.500382292444759 3.87778598787074 0.000105411380401714 0.202294203785695
"OG0023190:" 31.934157740366 -2.17577005411159 0.558940883299393 -3.89266578831764 9.91486987618676e-05 0.202294203785695
"OG0032288:" 52.2501300027168 -1.85095193915899 0.478209030737201 -3.87059177093662 0.000108571474802109 0.202294203785695
"OG0005137:" 178.817340552633 -2.15266005840866 0.572463252579675 -3.76034627324669 0.000169678320412381 0.237261763007978
"OG0008421:" 311.003931498378 -1.84953931576544 0.490497515297694 -3.77074145756459 0.000162763232927383 0.237261763007978
"OG0010112:" 41.7812632228045 -1.97469201947001 0.526454122202268 -3.75092897213807 0.0001761806071154 0.237261763007978
"OG0013008:" 314.776426573375 -1.86454346210493 0.49776024586643 -3.74586656445292 0.000179772132981578 0.237261763007978
"OG0020052:" 16.1994421026958 -2.1652759247941 0.573536440372012 -3.77530662810133 0.000159810957877034 0.237261763007978
"OG0031344:" 20.401373939328 -2.1569619751421 0.575279966577182 -3.74941263464406 0.000177249231857909 0.237261763007978
"OG0037259:" 52.3169597394873 -2.17996447536932 0.573677285638737 -3.79998394557688 0.000144705462215138 0.237261763007978
"OG0018952:" 38.1503520346567 -2.12672119602087 0.569318582524099 -3.7355555594057 0.000187301218835382 0.237310644264429
"OG0033437:" 393.33533731651 -1.43697991873915 0.386755185354809 -3.71547680070757 0.000202820874615581 0.247090430901867
"OG0002798:" 7191.35127886035 -1.74993499073121 0.474714301936376 -3.68629085661242 0.000227546277390806 0.257411726298349
"OG0025257:" 341.940210787418 -2.07232875635045 0.561314258891079 -3.69192252561783 0.000222565269057411 0.257411726298349
"OG0036852:" 1072.97611981349 -2.11665403099977 0.576990899426502 -3.66843572940857 0.000244039022255632 0.26654951827404
"OG0006613:" 102.936105983338 -2.08006851472543 0.576665650370914 -3.60706158479792 0.000309684178221268 0.273347892835723
"OG0006856:" 267.274607515691 1.32307444094984 0.369017167416535 3.58540078287577 0.000336560941455191 0.273347892835723
"OG0009020:" 106.62192541917 -2.03043735499873 0.565152694811191 -3.59272347746137 0.000327239797548704 0.273347892835723
"OG0017605:" 223.03526138445 -1.47895258845652 0.40527636807107 -3.64924457721445 0.000263012606749831 0.273347892835723
"OG0018906:" 66.1248936653834 -2.06995848707228 0.569033094148348 -3.63767680361424 0.000275108337460682 0.273347892835723
"OG0024558:" 94.7845033995954 -2.05150845734753 0.566148722828875 -3.62362109923477 0.000290507091729233 0.273347892835723
"OG0027264:" 153.71901325751 -2.06682679723033 0.573180404470043 -3.6058922829738 0.000311082165455333 0.273347892835723
"OG0028485:" 882.561230768091 1.26054300464592 0.351172544846343 3.58952606957779 0.000331279701307008 0.273347892835723
"OG0034861:" 196.067872186857 -2.08137119757506 0.574931435827545 -3.62020767672788 0.000294366652350082 0.273347892835723
"OG0035872:" 29.6316033262155 -2.01742612845413 0.561385635122396 -3.59365470406858 0.000326071896915659 0.273347892835723
"OG0008139:" 35.5281138705851 -1.855739652701 0.521479354105547 -3.55860618084106 0.000372828066109736 0.295233224850647
"OG0024690:" 27.4849963884571 -1.90907042854146 0.538361556977214 -3.54607494498768 0.000391014985239825 0.302082918474913
"OG0008875:" 30.3365509795153 -1.96526580741144 0.561076032356243 -3.50267288937347 0.000460614748683459 0.339760483624741
"OG0011512:" 199.211222488824 -1.98139975888324 0.565740358746749 -3.5023129042314 0.000461237594186704 0.339760483624741
"OG0010189:" 21.7522651664664 -1.84831912342121 0.530339508334905 -3.48516204124473 0.000491839093211735 0.346200072832926
"OG0026840:" 110.55219683602 -1.93341275712065 0.553818766541071 -3.49105677511792 0.00048111400316468 0.346200072832926
"OG0009915:" 1373.86293717437 -2.00746761017404 0.577633174951957 -3.47533295735828 0.000510219643628518 0.351330591563768
